date,new_patients_china,new_patients_hubei,new_patients_wuhan,total_patients_china,total_patients_hubei,total_patients_wuhan,new_death_china,new_death_hubei,new_death_wuhan,total_death_china,total_death_hubei,total_death_wuhan
1/12,na,na,0,na,na,41,0,0,0,1,1,1
1/13,na,na,0,na,na,41,0,0,0,1,1,1
1/14,na,na,0,na,na,41,0,0,0,1,1,1
1/15,na,na,0,na,na,41,1,1,1,2,2,2
1/16,na,na,4,na,na,45,0,0,0,2,2,2
1/17,na,na,17,na,na,62,0,0,0,2,2,2
1/18,na,na,59,na,na,121,1,1,1,3,3,3
1/19,na,na,77,214,198,198,1,1,1,4,4,4
1/20,77,72,60,291,270,258,2,2,2,6,6,6
1/21,149,105,105,440,375,363,3,3,3,9,9,9
1/22,131,69,62,571,444,425,8,8,8,17,17,17
1/23,259,105,70,830,549,495,8,7,6,25,24,23
1/24,444,180,77,1287,729,572,16,15,15,41,39,38
1/25,688,323,46,1975,1052,618,15,13,7,56,52,45
1/26,769,371,80,2744,1423,698,24,24,18,80,76,63
1/27,1771,1291,892,4515,2714,1590,26,24,22,106,100,85
1/28,1459,840,315,5974,3554,1905,26,25,19,132,125,104
1/29,1737,1032,356,7711,4586,2261,38,37,25,170,162,129
